table_code,city,table_nbr,place_let,gender,pol_interest ,occupation,partic_past,responsabilite_pol ,grand_débat,rens_pre_eco ,rens_pre_dem ,rens_pre_fis ,rens_pre_etat ,theme,int_pre_eco ,int_pre_dem ,int_pre_fis ,int_pre_etat ,int_post_eco ,int_post_dem ,int_post_fis ,int_post_etat ,know_pre_eco ,know_pre_dem ,know_pre_fis ,know_pre_etat ,know_post_eco ,know_post_dem ,know_post_fis ,know_post_etat ,cx_pre_eco ,cx_pre_dem ,cx_pre_fis ,cx_pre_etat ,cx_post_eco ,cx_post_dem ,cx_post_fis ,cx_post_etat ,conf_trans_pre ,conf_trans_post ,conf_prise_pre ,conf_prise_post ,temps_exp_pre,oser_pre,ecoute_pre,perso_pre,sincere_pre,diff_op_pre,revendic_pre,diff_consensus_pre,change_avis_pre,respect_pre,concret_pre,discuss_pre,desaccord_aime_pre,desaccord_stimule_pre,homogen_pre,confiance_pre,temps_exp_post,oser_post,ecoute_post,perso_post,sincere_post,diff_op_post,revendic_post,diff_consensus_post,change_avis_post,respect_post,concret_post,discuss_post,desaccord_aime_post,desaccord_stimule_post,homogen_post,confiance_post,chgt_avis,deplu_quali,surplis_quali,sat_level_gen,sat_level_rythme,sat_level_exp,sat_level_info,sat_level_qual,doubl,appris,systematisation,double_answer,theme_diff,
POI15,poitiers,15,d,1,5,artisan,0,0,0,10,10,10,10,ESP,10,10,10,10,10,10,10,10,6,6,6,6,9,9,9,9,10,10,10,10,6,6,6,6,3,5,3,5,8,3,3,10,8,8,5,0,0,10,10,10,2,10,2,8,4,0,0,0,10,4,6,0,0,10,6,10,0,10,6,8,0,"theme, echange, encadre, choix, reflexion, court, temps","rencontre, beau, riche, echange",6,4,6,6,10,8,10,10,0,0,
POI15,poitiers,15,e,0,7,cadre,0,0,0,7,7,7,7,ESP,5,7,7,8,7,7,7,7,5,5,7,7,6,7,7,8,8,8,8,8,8,8,8,8,5,5,2,4,6,5,5,6,6,8,5,8,5,7,4,3,8,4,7,7,4,3,2,1,9,3,5,3,3,9,1,8,2,6,2,2,0,"possibilite, sujet","echange, constructif, table",7,4,7,6,8,5,6,7,0,0,
POI15,poitiers,15,f,1,3,NA,0,0,1,8,4,0,0,ESP,10,7,7,8,9,8,7,8,8,7,2,5,8,4,5,7,NA,NA,NA,NA,1,2,4,4,NA,3,NA,2,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,0,0,3,0,5,0,0,10,0,8,5,9,3,8,0,"table, temps","probleme, fraternite, accord, envie, solution",5,4,4,4,8,8,8,10,0,0,
POI16,poitiers,16,a,0,6,intermediaire,1,0,0,6,7,4,5,ESP,4,6,6,8,5,6,8,9,4,6,5,5,5,7,6,8,5,NA,5,NA,7,7,8,7,8,9,8,8,5,5,6,6,8,7,9,7,6,8,8,9,7,8,6,9,8,3,2,2,8,5,8,1,1,9,9,9,8,8,1,7,1,NA,"convivialite, debat, qualite",8,8,10,9,9,9,8,9,0,1,
POI16,poitiers,16,c,0,6,artisan,1,0,0,5,7,3,4,ESP,8,7,6,5,8,8,7,7,7,5,5,6,8,8,5,6,5,6,6,7,7,7,4,6,7,6,7,7,4,4,6,6,7,7,2,4,6,7,7,7,5,8,5,7,10,2,4,3,8,8,8,3,3,7,7,7,5,7,5,6,1,"organisation, bon, facile","glyphosate, debat, pesticide",7,8,7,8,7,8,8,8,0,0,
POI16,poitiers,16,d,0,5,artisan,0,0,0,0,0,0,0,ESP,8,10,8,6,8,10,9,9,8,8,6,3,8,9,5,5,1,NA,NA,3,4,6,5,5,5,7,5,9,5,5,3,5,5,8,0,0,0,5,8,NA,5,8,0,5,9,0,0,1,8,2,8,0,0,9,5,8,5,7,0,5,0,NA,"gens, pensee",8,5,9,8,9,9,8,10,0,0,
POI16,poitiers,16,e,NA,6,NA,0,0,0,6,0,6,0,ESP,6,NA,9,9,7,NA,8,8,5,5,5,5,7,2,8,NA,NA,NA,8,8,NA,7,NA,NA,8,NA,3,NA,NA,NA,NA,NA,9,6,NA,NA,NA,8,NA,8,NA,NA,NA,NA,10,0,0,0,9,6,NA,0,NA,10,3,10,0,9,0,5,NA,NA,"idee, echange, constructif, bienveillance, debat, probleme, ecoute, personne, different",10,7,10,8,10,9,7,10,0,1,
POI16,poitiers,16,f,0,10,emp_qualifie,0,0,0,2,1,3,0,ESP,6,7,8,7,6,10,7,5,6,6,5,4,6,7,5,6,2,4,6,3,5,NA,7,6,10,8,8,7,10,0,0,2,9,5,1,10,5,5,3,8,0,9,0,7,7,6,3,2,7,8,5,8,5,7,8,6,5,7,2,6,1,NA,"participant, interet",9,7,5,6,6,6,6,8,0,0,
ROU14,Rouen,14,A,1,10,cadre,0,0,5,5,5,5,5,ESP,9,10,8,8,9,8,7,8,6,9,5,7,6,9,5,8,5,5,5,5,6,6,7,7,6,9,6,5,8,2,3,3,8,10,0,7,3,10,6,10,2,9,4,9,9,0,0,0,10,10,8,0,0,10,4,10,2,10,7,7,0,NA,"ecoute, attitude, echange, participant",7,6,8,7,9,8,8,8,0,0,
ROU14,Rouen,14,B,0,8,cadre,1,0,0,0,0,0,0,ESP,NA,6,6,5,8,6,5,8,6,4,5,4,8,5,5,5,7,7,8,10,2,3,6,4,3,7,6,6,5,4,2,5,5,8,3,9,7,7,6,7,8,7,2,7,9,0,0,0,2,1,7,1,1,8,4,6,9,8,2,8,0,"ensemble, discussion, manque, temps","professionnalisme, facilitateur, echange, ecoute, qualite",7,7,7,6,9,9,5,8,0,0,
ROU14,Rouen,14,C,1,8,NA,4,1,1,0,0,0,0,ESP,7,10,10,9,9,9,6,10,3,6,7,5,4,10,9,10,2,7,6,9,7,10,7,10,5,9,5,10,3,0,0,5,3,10,10,10,10,10,6,10,5,10,0,5,10,9,0,NA,5,NA,10,0,0,8,10,10,NA,NA,NA,NA,0,temps,"echange, theme",5,2,2,3,3,5,2,10,0,0,
ROU14,Rouen,14,D,0,8,intermediaire,2,0,1,7,5,6,6,ESP,8,7,8,5,9,9,8,9,7,6,6,5,9,9,8,9,NA,8,7,8,8,8,8,9,6,7,6,7,7,6,8,5,8,8,2,8,6,4,5,7,6,8,4,7,10,0,0,0,10,10,7,0,0,10,10,10,0,10,7,10,1,"salle, bruit","personne, divers, sujet, fait",8,8,9,9,9,10,10,8,0,0,
ROU14,Rouen,14,E,0,6,cadre,0,1,0,6,4,3,4,ESP,9,8,4,3,NA,NA,NA,NA,6,6,6,6,NA,NA,NA,NA,9,4,9,7,NA,NA,NA,NA,8,NA,6,NA,4,7,2,2,7,8,2,2,3,8,5,7,5,5,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
ROU14,Rouen,14,F,1,7,emp_qualifie,1,0,0,4,6,6,7,ESP,6,8,7,9,NA,NA,NA,NA,4,6,6,7,NA,NA,NA,NA,3,3,4,4,NA,NA,NA,NA,6,NA,6,NA,7,0,3,3,6,6,0,2,4,7,6,9,3,9,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
ROU14,Rouen,14,G,1,2,intermediaire,0,0,0,NA,7,2,7,ESP,10,10,1,8,10,8,4,9,9,5,1,7,9,5,1,6,8,8,8,8,9,9,9,9,9,9,7,8,NA,0,0,5,NA,5,3,NA,NA,NA,NA,6,6,NA,4,5,10,0,0,0,10,5,4,0,0,10,5,10,0,9,0,5,0,"bruit, jour, premier",NA,9,9,9,9,9,9,9,5,0,0,
ROU10,Rouen,10,A,0,6,NA,2,1,1,0,0,0,0,TE,8,5,5,7,8,8,8,NA,5,5,5,5,5,5,5,5,5,5,8,8,7,7,8,8,6,6,5,6,6,2,5,2,2,5,2,5,8,8,5,5,2,5,5,8,0,0,0,0,10,2,5,10,10,10,5,5,2,5,5,8,0,NA,"esprit, bon",6,6,8,8,6,8,6,10,0,0,
ROU10,Rouen,10,B,0,9,artisan,2,0,0,0,0,0,0,TE,6,9,8,9,9,7,8,6,4,7,6,7,5,7,4,7,7,3,5,3,6,3,8,5,7,8,7,8,7,0,3,6,4,9,4,7,6,7,6,9,1,9,3,6,7,0,0,0,8,6,6,0,3,10,6,9,1,7,3,5,1,"obligatoire, echange, rapidite, necessaire","democratie, echange",8,7,8,8,9,9,8,8,0,0,
